State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Kerala,Alappuzha,Kayamkulam,Cucumbar(Kheera),Other,FAQ,15-09-2024,2100,2300,2200
Kerala,Alappuzha,Kayamkulam,French Beans (Frasbean),Other,FAQ,15-09-2024,8400,8600,8500
Madhya Pradesh,Alirajpur,Alirajpur,Bengal Gram(Gram)(Whole),Chana Kabuli,FAQ,15-09-2024,6000,6000,6000
Madhya Pradesh,Alirajpur,Alirajpur,Bengal Gram(Gram)(Whole),Chana Kanta,FAQ,15-09-2024,6000,6000,6000
Madhya Pradesh,Alirajpur,Jobat,Bengal Gram(Gram)(Whole),Chana Kabuli,FAQ,15-09-2024,6500,6500,6500
Madhya Pradesh,Anupur,Anuppur,Mustard,Sarson(Black),FAQ,15-09-2024,4800,4800,4800
Madhya Pradesh,Anupur,Anuppur,Paddy(Dhan)(Common),Dhan,FAQ,15-09-2024,2100,2100,2100
Madhya Pradesh,Chhindwara,Amarwda,Bengal Gram(Gram)(Whole),Gram,FAQ,15-09-2024,6700,6800,6800
Madhya Pradesh,Damoh,Damoh,Soyabean,Soyabeen,FAQ,15-09-2024,4080,4210,4210
Madhya Pradesh,Dhar,Dhar,Soyabean,Soyabeen,FAQ,15-09-2024,4710,4710,4710
Madhya Pradesh,Dhar,Manawar,Kabuli Chana(Chickpeas-White),Double Dollar Chana,FAQ,15-09-2024,11,13200,13200
Madhya Pradesh,Dindori,Dindori,Lentil (Masur)(Whole),Masur Dal,FAQ,15-09-2024,5000,5050,5050
Madhya Pradesh,Dindori,Dindori,Paddy(Dhan)(Common),Other,FAQ,15-09-2024,2000,2000,2000
Madhya Pradesh,Dindori,Dindori,Wheat,Mill Quality,FAQ,15-09-2024,2275,2275,2275
Madhya Pradesh,Jabalpur,Sehora,Wheat,Mill Quality,FAQ,15-09-2024,2604,2664,2664
Madhya Pradesh,Jhabua,Petlawad,Wheat,Wheat Mix,FAQ,15-09-2024,2300,2350,2350
